instancia,solucao_otima,solucao_inicial,solucao_encontrada,desvio_percentual,geracao_paragem,tempo_execucao_s
n_1000_1,9999946233,9999826039,9999827097,0.001191,500,0.5806
n_1000_2,9999964987,9997852631,9999857382,0.001076,500,0.4774
n_1000_3,9999229281,9999228209,9999228930,0.000004,500,0.5258
n_1000_4,9999239905,9999238389,9999239620,0.000003,500,0.4825
n_1000_5,9999251796,9996904978,9999251390,0.000004,500,0.4780
n_1000_6,9996100344,9742193994,9996100334,0.000000,313,0.2968
n_1000_7,9996105266,9781261413,9996105192,0.000001,224,0.2106
n_1000_8,9996111502,9996111288,9996111467,0.000000,398,0.3724
n_1000_9,9980488131,9980482787,9980486289,0.000018,500,0.4827
n_1000_10,9980507700,9980497336,9980504089,0.000036,210,0.2026
