instance,ants,iterations,alpha,beta,rho,q,stall,seed,best_value,total_weight,elapsed_ms
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.1000,0.5000,50,42,9999474740,9999474475,335
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.1000,2.0000,120,123,9999474560,9999474473,336
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.2000,0.5000,80,123,9999474749,9999474340,331
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.1000,2.0000,120,42,9999474716,9999474631,340
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.1000,1.0000,120,2026,9998474603,9998474365,343
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.2000,0.5000,50,123,9999474844,9999474527,341
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.2000,0.5000,50,42,9999474807,9999474439,345
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.1000,2.0000,50,123,9999474810,9999474457,347
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.1000,2.0000,120,2026,9999474925,9999474339,348
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.2000,0.5000,50,2026,9999474796,9999474589,348
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.2000,0.5000,80,42,9999474934,9999474367,349
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.1000,2.0000,50,2026,9999474879,9999474588,351
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.1000,2.0000,80,42,9999474716,9999474631,352
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.1000,2.0000,80,123,9999474628,9999474320,354
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.1000,0.5000,120,2026,9998474603,9998474365,358
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.1000,2.0000,80,2026,9999474814,9999474272,360
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.1000,1.0000,120,123,9999474652,9999474551,371
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.1000,1.0000,120,42,9999474716,9999474631,371
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.1000,1.0000,50,42,9999474740,9999474475,374
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.1000,1.0000,80,123,9999474621,9999474488,374
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.1000,0.5000,80,123,9999474621,9999474488,376
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.1000,0.5000,50,2026,9999474798,9999474308,377
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.1000,1.0000,50,123,9999474778,9999474384,376
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.1000,0.5000,80,2026,9999474746,9999474710,380
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.1000,0.5000,120,42,9999474716,9999474631,380
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.1000,0.5000,80,42,9999474716,9999474631,380
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.1000,0.5000,50,123,9999474778,9999474384,382
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.1000,1.0000,50,2026,9999474689,9999474377,383
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.1000,1.0000,80,42,9999474716,9999474631,387
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.1000,0.5000,120,123,9999474652,9999474551,392
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.1000,1.0000,80,2026,9999474703,9999474442,397
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.1000,2.0000,50,42,9999474784,9999474469,402
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.2000,0.5000,80,2026,9999474710,9999474496,250
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.2000,1.0000,80,2026,9999474710,9999474496,236
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.2000,0.5000,120,123,9999474560,9999474473,247
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.2000,2.0000,50,42,9999474859,9999474427,232
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.2000,0.5000,120,2026,9998474576,9998474429,251
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.2000,0.5000,120,42,9999474848,9999474428,257
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.2000,1.0000,120,2026,9998474576,9998474429,244
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.2000,1.0000,80,42,9999474934,9999474367,250
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.2000,1.0000,120,42,9999474848,9999474428,248
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.2000,1.0000,50,123,9999474844,9999474527,256
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.2000,2.0000,50,123,9999474844,9999474527,243
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.2000,1.0000,50,2026,9999474796,9999474589,263
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.2000,1.0000,50,42,9999474807,9999474439,266
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.2000,1.0000,80,123,9999474749,9999474340,262
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.2000,2.0000,50,2026,9999474796,9999474589,251
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.2000,1.0000,120,123,9999474560,9999474473,264
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.2000,2.0000,80,123,9999474638,9999474510,255
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.3000,0.5000,50,42,9999474771,9999474407,251
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.2000,2.0000,80,2026,9999474710,9999474496,281
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.2000,2.0000,120,123,9999474743,9999474395,280
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.2000,2.0000,120,42,9999474848,9999474428,282
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.3000,0.5000,80,42,9999474991,9999474403,278
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.2000,2.0000,120,2026,9998474576,9998474429,282
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.3000,1.0000,50,42,9999474771,9999474407,256
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.3000,0.5000,80,123,9999474713,9999474447,281
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.3000,0.5000,50,2026,9999474713,9999474539,283
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.3000,0.5000,50,123,9999474948,9999474631,284
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.3000,0.5000,80,2026,9999474833,9999474198,289
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.2000,2.0000,80,42,9999474934,9999474367,306
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.3000,0.5000,120,123,9999474748,9999474295,289
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.3000,0.5000,120,42,9999474775,9999474313,299
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.3000,0.5000,120,2026,9999474648,9999474260,317
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.3000,1.0000,50,2026,9999474713,9999474539,298
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.3000,1.0000,120,42,9999474775,9999474313,295
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.3000,2.0000,50,123,9999474948,9999474631,288
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.3000,1.0000,80,2026,9999474833,9999474198,301
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.3000,1.0000,80,42,9999474991,9999474403,308
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.3000,2.0000,50,42,9999474942,9999474373,296
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.3000,1.0000,120,123,9999474748,9999474295,302
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.3000,2.0000,120,42,9999474783,9999474734,290
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.3000,1.0000,80,123,9999474713,9999474447,316
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.3000,2.0000,80,2026,9999474777,9999474373,301
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.3000,1.0000,50,123,9999474948,9999474631,326
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.3000,1.0000,120,2026,9999474648,9999474260,323
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.3000,2.0000,120,123,9999474560,9999474473,308
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.3000,2.0000,50,2026,9999474713,9999474539,325
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.3000,2.0000,80,42,9999474982,9999474551,318
