instance,optimal_value,initial_value,best_value,gap_percent,total_weight,threads,best_configuration,stop_generation,elapsed_s,instance_started_at_epoch_ms,instance_ended_at_epoch_ms,instance_elapsed_s
n_1000_1,9999946233,9999826041,9999827305,0.001189,9999821986,1,pop=80 gen=500 cRate=0.8500 mRate=0.0050 elite=3 tourn=5 stag=50 seed=4 threads=1,489,0.6406,1779830240224,1779830436989,196.7650
n_1000_2,9999964987,9999853865,9999857893,0.001071,9999840662,1,pop=100 gen=500 cRate=0.8500 mRate=0.0050 elite=5 tourn=5 stag=100 seed=4 threads=1,500,0.8120,1779830436989,1779830642792,205.8030
n_1000_3,9999229281,9999228097,9999229005,0.000003,9999225983,1,pop=80 gen=500 cRate=0.9500 mRate=0.0050 elite=5 tourn=5 stag=50 seed=4 threads=1,500,0.7302,1779830642792,1779830856296,213.5040
n_1000_4,9999239905,9999238295,9999239712,0.000002,9999232254,1,pop=100 gen=500 cRate=0.8500 mRate=0.0050 elite=5 tourn=5 stag=100 seed=202 threads=1,500,0.9691,1779830856296,1779831051137,194.8410
n_1000_5,9999251796,9999249697,9999251471,0.000003,9999240980,1,pop=100 gen=500 cRate=0.9500 mRate=0.0050 elite=5 tourn=5 stag=100 seed=12 threads=1,500,0.9208,1779831051137,1779831249248,198.1110
n_1000_6,9996100344,9996100244,9996100343,0.000000,9996100031,1,pop=100 gen=500 cRate=0.9500 mRate=0.0050 elite=3 tourn=5 stag=100 seed=12 threads=1,429,0.8226,1779831249248,1779831378809,129.5610
n_1000_7,9996105266,9996105048,9996105254,0.000000,9996103602,1,pop=100 gen=300 cRate=0.9500 mRate=0.0100 elite=5 tourn=5 stag=50 seed=202 threads=1,206,0.3779,1779831378809,1779831503206,124.3970
n_1000_8,9996111502,9839861382,9996111488,0.000000,9996109736,1,pop=80 gen=300 cRate=0.9500 mRate=0.0100 elite=5 tourn=3 stag=50 seed=202 threads=1,200,0.2886,1779831503206,1779831629945,126.7390
n_1000_9,9980488131,9980482827,9980486930,0.000012,9980481538,1,pop=80 gen=500 cRate=0.9500 mRate=0.0050 elite=5 tourn=5 stag=100 seed=12 threads=1,500,0.7161,1779831629945,1779831819686,189.7410
n_1000_10,9980507700,9980497634,9980505783,0.000019,9980494144,1,pop=100 gen=500 cRate=0.8500 mRate=0.0050 elite=5 tourn=5 stag=100 seed=202 threads=1,500,0.8102,1779831819687,1779832001009,181.3220
