instance,population_size,generations,crossover_rate,mutation_rate,elite_size,tournament_size,stagnation,seed,threads,initial_value,best_value,total_weight,optimal_value,difference,gap_percent,stop_generation,elapsed_s
n_1000_1,80,300,0.8500,0.0050,3,3,50,4,16,9999826041,9999827111,9999821488,9999946233,119122,0.001191,300,0.5629
n_1000_1,80,300,0.8500,0.0050,3,3,50,12,16,9999826005,9999827028,9999821488,9999946233,119205,0.001192,300,0.5569
n_1000_1,80,300,0.8500,0.0050,3,3,50,202,16,9999826150,9999827068,9999821331,9999946233,119165,0.001192,300,0.5644
n_1000_1,80,300,0.8500,0.0050,3,3,100,4,16,9999826041,9999827111,9999821488,9999946233,119122,0.001191,300,0.5629
n_1000_1,80,300,0.8500,0.0050,3,3,100,12,16,9999826005,9999827028,9999821488,9999946233,119205,0.001192,300,0.5579
n_1000_1,80,300,0.8500,0.0050,3,3,100,202,16,9999826150,9999827068,9999821331,9999946233,119165,0.001192,300,0.5509
n_1000_1,80,300,0.8500,0.0050,3,5,50,4,16,9999826041,9999827234,9999821822,9999946233,118999,0.001190,300,0.5484
n_1000_1,80,300,0.8500,0.0050,3,5,50,12,16,9999826005,9999827136,9999821836,9999946233,119097,0.001191,300,0.5444
n_1000_1,80,300,0.8500,0.0050,3,5,50,202,16,9999826150,9999827137,9999821586,9999946233,119096,0.001191,300,0.5484
n_1000_1,80,300,0.8500,0.0050,3,5,100,4,16,9999826041,9999827234,9999821822,9999946233,118999,0.001190,300,0.5509
n_1000_1,80,300,0.8500,0.0050,3,5,100,12,16,9999826005,9999827136,9999821836,9999946233,119097,0.001191,300,0.5589
n_1000_1,80,300,0.8500,0.0050,3,5,100,202,16,9999826150,9999827137,9999821586,9999946233,119096,0.001191,300,0.5589
n_1000_1,80,300,0.8500,0.0050,5,3,50,4,16,9999826041,9999827008,9999821221,9999946233,119225,0.001192,222,0.4331
n_1000_1,80,300,0.8500,0.0050,5,3,50,12,16,9999826005,9999827060,9999821449,9999946233,119173,0.001192,300,0.5353
