instance,optimal_value,best_value,gap_percent,total_weight,best_configuration,stop_generation,elapsed_time
n_1000_1,9999946233,9999827305,0.001189,9999821986,pop=80 gen=500 cRate=0.85 mRate=0.005 elite=3 tourn=5 stag=50 seed=4,489,0.6471
n_1000_2,9999964987,9999858067,0.001069,9999840897,pop=80 gen=500 cRate=0.75 mRate=0.005 elite=1 tourn=5 stag=100 seed=202,500,0.6661
n_1000_3,9999229281,9999229015,0.000003,9999226130,pop=80 gen=500 cRate=0.95 mRate=0.005 elite=1 tourn=5 stag=50 seed=12,495,0.6661
n_1000_4,9999239905,9999239704,0.000002,9999232375,pop=80 gen=500 cRate=0.85 mRate=0.005 elite=3 tourn=5 stag=100 seed=12,500,0.6513
n_1000_5,9999251796,9999251457,0.000003,9999241035,pop=80 gen=500 cRate=0.95 mRate=0.005 elite=3 tourn=5 stag=100 seed=12,500,0.6882
n_1000_6,9996100344,9996100341,0.000000,9996099943,pop=80 gen=300 cRate=0.85 mRate=0.005 elite=1 tourn=5 stag=50 seed=4,184,0.2505
n_1000_7,9996105266,9996105253,0.000000,9996103566,pop=80 gen=300 cRate=0.95 mRate=0.005 elite=5 tourn=2 stag=100 seed=4,300,0.3996
n_1000_8,9996111502,9996111488,0.000000,9996109736,pop=80 gen=300 cRate=0.95 mRate=0.010 elite=5 tourn=3 stag=50 seed=202,200,0.2636
n_1000_9,9980488131,9980487736,0.000004,9980483227,pop=80 gen=500 cRate=0.75 mRate=0.001 elite=5 tourn=5 stag=20 seed=4,500,0.6272
n_1000_10,9980507700,9980506760,0.000009,9980497177,pop=80 gen=500 cRate=0.85 mRate=0.001 elite=1 tourn=5 stag=50 seed=4,500,0.6575
