instance,optimal_value,initial_value,best_value,gap_percent,total_weight,threads,best_configuration,stop_generation,elapsed_s
n_1000_1,9999946233,9999826041,9999827305,0.001189,9999821986,32,pop=80 gen=500 cRate=0.8500 mRate=0.0050 elite=3 tourn=5 stag=50 seed=4 threads=32,489,0.8043
n_1000_2,9999964987,9999381368,9999858067,0.001069,9999840897,32,pop=80 gen=500 cRate=0.7500 mRate=0.0050 elite=1 tourn=5 stag=100 seed=202 threads=32,500,0.8447
n_1000_3,9999229281,9999228246,9999229015,0.000003,9999226130,32,pop=80 gen=500 cRate=0.9500 mRate=0.0050 elite=1 tourn=5 stag=50 seed=12 threads=32,495,0.8234
n_1000_4,9999239905,9999238249,9999239704,0.000002,9999232375,32,pop=80 gen=500 cRate=0.8500 mRate=0.0050 elite=3 tourn=5 stag=100 seed=12 threads=32,500,0.8456
n_1000_5,9999251796,9999248436,9999251457,0.000003,9999241035,32,pop=80 gen=500 cRate=0.9500 mRate=0.0050 elite=3 tourn=5 stag=100 seed=12 threads=32,500,0.8726
n_1000_6,9996100344,9996100280,9996100341,0.000000,9996099943,32,pop=80 gen=300 cRate=0.8500 mRate=0.0050 elite=1 tourn=5 stag=50 seed=4 threads=32,184,0.3168
n_1000_7,9996105266,9781261391,9996105253,0.000000,9996103566,32,pop=80 gen=300 cRate=0.9500 mRate=0.0100 elite=5 tourn=3 stag=100 seed=12 threads=32,300,0.4762
n_1000_8,9996111502,9839861382,9996111488,0.000000,9996109736,32,pop=80 gen=300 cRate=0.9500 mRate=0.0100 elite=5 tourn=3 stag=50 seed=202 threads=32,200,0.3324
n_1000_9,9980488131,9980482882,9980487736,0.000004,9980483227,32,pop=80 gen=500 cRate=0.7500 mRate=0.0010 elite=5 tourn=5 stag=50 seed=4 threads=32,500,0.7875
n_1000_10,9980507700,9980497961,9980506760,0.000009,9980497177,32,pop=80 gen=500 cRate=0.8500 mRate=0.0010 elite=1 tourn=5 stag=50 seed=4 threads=32,500,0.8531
