Instância,Solução ótima (SO),Solução inicial,Solução encontrada (SE),% de desvio em relação à SO,Tempo computacional total
n_1000_1,9999946233,9999826041,9999827305,0.001189%,0.8043
n_1000_2,9999964987,9999381368,9999858067,0.001069%,0.8447
n_1000_3,9999229281,9999228246,9999229015,0.000003%,0.8234
n_1000_4,9999239905,9999238249,9999239704,0.000002%,0.8456
n_1000_5,9999251796,9999248436,9999251457,0.000003%,0.8726
n_1000_6,9996100344,9996100280,9996100341,0.000000%,0.3168
n_1000_7,9996105266,9781261391,9996105253,0.000000%,0.4762
n_1000_8,9996111502,9839861382,9996111488,0.000000%,0.3324
n_1000_9,9980488131,9980482882,9980487736,0.000004%,0.7875
n_1000_10,9980507700,9980497961,9980506760,0.000009%,0.8531
