instance,iterations,tenure_flip,tenure_swap,stall,diversify,seed,best_value,total_weight,elapsed_ms,grid_wallclock_ms
docs\inst_test\instancias\n_1000_1,100,10,7,5,0.3000,123,9997886652,9997883428,116,5910
docs\inst_test\instancias\n_1000_1,100,10,7,5,0.2000,2026,9999357279,9999353123,119,5910
docs\inst_test\instancias\n_1000_1,100,10,7,5,0.2000,42,9998827387,9998822899,119,5910
docs\inst_test\instancias\n_1000_1,100,10,7,5,0.2000,123,9998357185,9998353074,120,5910
docs\inst_test\instancias\n_1000_1,100,10,7,5,0.3000,42,9995356303,9995352910,121,5910
docs\inst_test\instancias\n_1000_1,100,10,7,5,0.1000,42,9999297471,9999292890,122,5910
docs\inst_test\instancias\n_1000_1,100,10,7,5,0.1000,2026,9995297202,9995292594,124,5910
docs\inst_test\instancias\n_1000_1,100,10,7,5,0.1000,123,9998827353,9998822863,126,5910
docs\inst_test\instancias\n_1000_1,100,10,7,10,0.1000,123,9998827353,9998822863,37,5910
docs\inst_test\instancias\n_1000_1,100,10,7,5,0.3000,2026,9999886724,9999883437,43,5910
docs\inst_test\instancias\n_1000_1,100,10,7,10,0.3000,42,9988826644,9988822288,36,5910
docs\inst_test\instancias\n_1000_1,100,10,7,10,0.2000,2026,9999357176,9999353151,39,5910
docs\inst_test\instancias\n_1000_1,100,10,7,10,0.2000,123,9998357073,9998353031,42,5910
docs\inst_test\instancias\n_1000_1,100,10,7,10,0.1000,42,9999297271,9999292847,46,5910
docs\inst_test\instancias\n_1000_1,100,10,7,10,0.1000,2026,9995297202,9995292594,46,5910
docs\inst_test\instancias\n_1000_1,100,10,7,10,0.2000,42,9998827374,9998822833,48,5910
docs\inst_test\instancias\n_1000_1,100,10,7,10,0.3000,123,9989826827,9989822538,26,5910
docs\inst_test\instancias\n_1000_1,100,10,7,10,0.3000,2026,9998357180,9998353192,23,5910
docs\inst_test\instancias\n_1000_1,100,10,7,20,0.2000,123,9996827320,9996822747,21,5910
docs\inst_test\instancias\n_1000_1,100,10,7,20,0.1000,2026,9995297202,9995292594,23,5910
docs\inst_test\instancias\n_1000_1,100,10,7,20,0.2000,2026,9997827318,9997822780,21,5910
docs\inst_test\instancias\n_1000_1,100,10,7,20,0.2000,42,9994297151,9994292470,30,5910
docs\inst_test\instancias\n_1000_1,100,10,7,20,0.1000,123,9998826909,9998822989,54,5910
docs\inst_test\instancias\n_1000_1,100,10,7,20,0.3000,2026,9998357180,9998353192,38,5910
docs\inst_test\instancias\n_1000_1,100,10,7,20,0.1000,42,9998297184,9998292639,64,5910
docs\inst_test\instancias\n_1000_1,100,10,10,5,0.1000,42,9999297471,9999292890,41,5910
docs\inst_test\instancias\n_1000_1,100,10,7,20,0.3000,42,9988826429,9988822479,46,5910
docs\inst_test\instancias\n_1000_1,100,10,10,5,0.1000,123,9998827353,9998822863,45,5910
docs\inst_test\instancias\n_1000_1,100,10,10,5,0.2000,42,9998827387,9998822899,22,5910
docs\inst_test\instancias\n_1000_1,100,10,7,20,0.3000,123,9989826827,9989822538,56,5910
docs\inst_test\instancias\n_1000_1,100,10,10,5,0.2000,123,9998357185,9998353074,21,5910
docs\inst_test\instancias\n_1000_1,100,10,10,5,0.1000,2026,9995297202,9995292594,54,5910
docs\inst_test\instancias\n_1000_1,100,10,10,5,0.3000,123,9997886652,9997883428,23,5910
docs\inst_test\instancias\n_1000_1,100,10,10,5,0.2000,2026,9999357279,9999353123,27,5910
docs\inst_test\instancias\n_1000_1,100,10,10,5,0.3000,2026,9999886724,9999883437,21,5910
docs\inst_test\instancias\n_1000_1,100,10,10,5,0.3000,42,9995356303,9995352910,32,5910
docs\inst_test\instancias\n_1000_1,100,10,10,10,0.1000,42,9999297271,9999292847,24,5910
docs\inst_test\instancias\n_1000_1,100,10,10,10,0.1000,2026,9995297202,9995292594,23,5910
docs\inst_test\instancias\n_1000_1,100,10,10,10,0.1000,123,9998827353,9998822863,32,5910
docs\inst_test\instancias\n_1000_1,100,10,10,10,0.2000,2026,9999357176,9999353151,21,5910
docs\inst_test\instancias\n_1000_1,100,10,10,10,0.2000,42,9998827374,9998822833,26,5910
docs\inst_test\instancias\n_1000_1,100,10,10,10,0.2000,123,9998357073,9998353031,24,5910
docs\inst_test\instancias\n_1000_1,100,10,10,10,0.3000,42,9988826644,9988822288,21,5910
docs\inst_test\instancias\n_1000_1,100,10,10,10,0.3000,123,9989826827,9989822538,21,5910
docs\inst_test\instancias\n_1000_1,100,10,10,10,0.3000,2026,9998357180,9998353192,22,5910
docs\inst_test\instancias\n_1000_1,100,10,10,20,0.1000,42,9998297184,9998292639,27,5910
docs\inst_test\instancias\n_1000_1,100,10,10,20,0.2000,2026,9997827318,9997822780,21,5910
docs\inst_test\instancias\n_1000_1,100,10,10,20,0.1000,2026,9995297202,9995292594,28,5910
docs\inst_test\instancias\n_1000_1,100,10,10,20,0.3000,42,9988826429,9988822479,20,5910
docs\inst_test\instancias\n_1000_1,100,10,10,20,0.1000,123,9998826909,9998822989,32,5910
docs\inst_test\instancias\n_1000_1,100,10,10,20,0.2000,42,9994297151,9994292470,32,5910
docs\inst_test\instancias\n_1000_1,100,10,10,20,0.2000,123,9996827320,9996822747,40,5910
docs\inst_test\instancias\n_1000_1,100,10,10,20,0.3000,2026,9998357180,9998353192,20,5910
