instance,iterations,tenure_flip,tenure_swap,stall,diversify,seed,best_value,total_weight,elapsed_ms,grid_wallclock_ms
docs\inst_test\instancias\n_1000_1,100,10,7,10,0.2000,42,9998827374,9998822833,338,2254
docs\inst_test\instancias\n_1000_1,100,10,7,5,0.3000,2026,9999886724,9999883437,339,2254
docs\inst_test\instancias\n_1000_1,100,10,7,20,0.3000,2026,9998357180,9998353192,338,2254
docs\inst_test\instancias\n_1000_1,100,10,7,10,0.2000,123,9998357073,9998353031,339,2254
docs\inst_test\instancias\n_1000_1,100,10,7,20,0.3000,123,9989826827,9989822538,340,2254
docs\inst_test\instancias\n_1000_1,100,10,7,5,0.1000,123,9998827353,9998822863,342,2254
docs\inst_test\instancias\n_1000_1,100,10,7,5,0.2000,2026,9999357279,9999353123,341,2254
docs\inst_test\instancias\n_1000_1,100,10,7,5,0.2000,42,9998827387,9998822899,343,2254
docs\inst_test\instancias\n_1000_1,100,10,7,10,0.3000,2026,9998357180,9998353192,344,2254
docs\inst_test\instancias\n_1000_1,100,10,7,5,0.1000,2026,9995297202,9995292594,345,2254
docs\inst_test\instancias\n_1000_1,100,10,7,20,0.1000,123,9998826909,9998822989,344,2254
docs\inst_test\instancias\n_1000_1,100,10,7,20,0.2000,123,9996827320,9996822747,344,2254
docs\inst_test\instancias\n_1000_1,100,10,7,10,0.1000,42,9999297271,9999292847,345,2254
docs\inst_test\instancias\n_1000_1,100,10,7,10,0.1000,2026,9995297202,9995292594,346,2254
docs\inst_test\instancias\n_1000_1,100,10,7,20,0.1000,42,9998297184,9998292639,346,2254
docs\inst_test\instancias\n_1000_1,100,10,7,5,0.2000,123,9998357185,9998353074,346,2254
docs\inst_test\instancias\n_1000_1,100,10,7,20,0.2000,42,9994297151,9994292470,348,2254
docs\inst_test\instancias\n_1000_1,100,10,7,20,0.1000,2026,9995297202,9995292594,353,2254
docs\inst_test\instancias\n_1000_1,100,10,7,10,0.3000,123,9989826827,9989822538,361,2254
docs\inst_test\instancias\n_1000_1,100,10,7,5,0.1000,42,9999297471,9999292890,363,2254
docs\inst_test\instancias\n_1000_1,100,10,7,10,0.3000,42,9988826644,9988822288,395,2254
docs\inst_test\instancias\n_1000_1,100,10,7,5,0.3000,123,9997886652,9997883428,409,2254
docs\inst_test\instancias\n_1000_1,100,10,7,10,0.2000,2026,9999357176,9999353151,410,2254
docs\inst_test\instancias\n_1000_1,100,10,7,20,0.2000,2026,9997827318,9997822780,411,2254
docs\inst_test\instancias\n_1000_1,100,10,7,10,0.1000,123,9998827353,9998822863,411,2254
docs\inst_test\instancias\n_1000_1,100,10,7,5,0.3000,42,9995356303,9995352910,412,2254
docs\inst_test\instancias\n_1000_1,100,10,7,20,0.3000,42,9988826429,9988822479,411,2254
docs\inst_test\instancias\n_1000_1,100,10,10,5,0.2000,2026,9999357279,9999353123,85,2254
docs\inst_test\instancias\n_1000_1,100,10,10,5,0.2000,42,9998827387,9998822899,90,2254
docs\inst_test\instancias\n_1000_1,100,10,10,10,0.2000,42,9998827374,9998822833,85,2254
docs\inst_test\instancias\n_1000_1,100,10,10,5,0.1000,42,9999297471,9999292890,92,2254
docs\inst_test\instancias\n_1000_1,100,10,10,10,0.1000,42,9999297271,9999292847,87,2254
docs\inst_test\instancias\n_1000_1,100,10,10,10,0.3000,123,9989826827,9989822538,82,2254
docs\inst_test\instancias\n_1000_1,100,10,10,5,0.3000,2026,9999886724,9999883437,88,2254
docs\inst_test\instancias\n_1000_1,100,10,10,5,0.2000,123,9998357185,9998353074,92,2254
docs\inst_test\instancias\n_1000_1,100,10,10,10,0.1000,2026,9995297202,9995292594,89,2254
docs\inst_test\instancias\n_1000_1,100,10,10,5,0.1000,123,9998827353,9998822863,96,2254
docs\inst_test\instancias\n_1000_1,100,10,10,5,0.1000,2026,9995297202,9995292594,97,2254
docs\inst_test\instancias\n_1000_1,100,10,10,5,0.3000,123,9997886652,9997883428,94,2254
docs\inst_test\instancias\n_1000_1,100,10,10,20,0.2000,2026,9997827318,9997822780,27,2254
docs\inst_test\instancias\n_1000_1,100,10,10,20,0.1000,42,9998297184,9998292639,76,2254
docs\inst_test\instancias\n_1000_1,100,10,10,20,0.2000,42,9994297151,9994292470,30,2254
docs\inst_test\instancias\n_1000_1,100,10,10,20,0.3000,2026,9998357180,9998353192,27,2254
docs\inst_test\instancias\n_1000_1,100,10,10,20,0.1000,123,9998826909,9998822989,78,2254
docs\inst_test\instancias\n_1000_1,100,10,10,10,0.1000,123,9998827353,9998822863,98,2254
docs\inst_test\instancias\n_1000_1,100,10,10,10,0.3000,42,9988826644,9988822288,96,2254
docs\inst_test\instancias\n_1000_1,100,10,10,5,0.3000,42,9995356303,9995352910,101,2254
