instance,iterations,tenure_flip,tenure_swap,stall,diversify,seed,best_value,total_weight,elapsed_ms
docs/inst_test/instancias/n_1000_1,1000,10,7,50,0.3000,123,9999416581,9999413709,379
docs/inst_test/instancias/n_1000_1,1000,10,7,50,0.3000,42,9999887078,9999883475,401
docs/inst_test/instancias/n_1000_1,1000,10,7,50,0.2000,2026,9999357281,9999353085,405
docs/inst_test/instancias/n_1000_1,1000,10,7,50,0.2000,123,9998886934,9998883463,419
docs/inst_test/instancias/n_1000_1,1000,10,7,50,0.1000,42,9999297486,9999292958,431
docs/inst_test/instancias/n_1000_1,1000,10,7,50,0.1000,2026,9995297202,9995292594,433
docs/inst_test/instancias/n_1000_1,1000,10,7,50,0.1000,123,9998827353,9998822863,437
docs/inst_test/instancias/n_1000_1,1000,10,7,50,0.2000,42,9998827387,9998822899,460
docs/inst_test/instancias/n_1000_1,1000,10,7,50,0.3000,2026,9999887007,9999883468,276
docs/inst_test/instancias/n_1000_1,1000,10,7,100,0.1000,123,9998827353,9998822863,283
docs/inst_test/instancias/n_1000_1,1000,10,7,100,0.2000,2026,9999357281,9999353085,255
docs/inst_test/instancias/n_1000_1,1000,10,7,100,0.2000,42,9998827387,9998822899,280
docs/inst_test/instancias/n_1000_1,1000,10,7,100,0.2000,123,9998357187,9998353072,278
docs/inst_test/instancias/n_1000_1,1000,10,7,100,0.3000,42,9999887034,9999883351,256
docs/inst_test/instancias/n_1000_1,1000,10,7,100,0.1000,42,9999297471,9999292890,317
docs/inst_test/instancias/n_1000_1,1000,10,7,100,0.1000,2026,9995297202,9995292594,323
docs/inst_test/instancias/n_1000_1,1000,10,7,100,0.3000,123,9999416581,9999413709,235
docs/inst_test/instancias/n_1000_1,1000,10,7,100,0.3000,2026,9999887007,9999883468,296
docs/inst_test/instancias/n_1000_1,1000,10,7,200,0.2000,123,9998357187,9998353072,280
docs/inst_test/instancias/n_1000_1,1000,10,7,200,0.2000,42,9998827387,9998822899,292
docs/inst_test/instancias/n_1000_1,1000,10,7,200,0.1000,123,9998827353,9998822863,300
docs/inst_test/instancias/n_1000_1,1000,10,7,200,0.1000,42,9999297471,9999292890,339
docs/inst_test/instancias/n_1000_1,1000,10,7,200,0.1000,2026,9995297202,9995292594,334
docs/inst_test/instancias/n_1000_1,1000,10,7,200,0.2000,2026,9999357281,9999353085,313
docs/inst_test/instancias/n_1000_1,1000,10,7,200,0.3000,42,9995356890,9995352989,323
docs/inst_test/instancias/n_1000_1,1000,10,7,200,0.3000,123,9999416581,9999413709,261
docs/inst_test/instancias/n_1000_1,1000,10,7,200,0.3000,2026,9999887007,9999883468,296
docs/inst_test/instancias/n_1000_1,1000,10,10,50,0.1000,123,9998827353,9998822863,284
docs/inst_test/instancias/n_1000_1,1000,10,10,50,0.2000,123,9998886934,9998883463,265
docs/inst_test/instancias/n_1000_1,1000,10,10,50,0.1000,42,9999297486,9999292958,318
docs/inst_test/instancias/n_1000_1,1000,10,10,50,0.1000,2026,9995297202,9995292594,300
docs/inst_test/instancias/n_1000_1,1000,10,10,50,0.2000,42,9998827387,9998822899,286
docs/inst_test/instancias/n_1000_1,1000,10,10,50,0.2000,2026,9999357281,9999353085,283
docs/inst_test/instancias/n_1000_1,1000,10,10,50,0.3000,123,9999416581,9999413709,242
docs/inst_test/instancias/n_1000_1,1000,10,10,50,0.3000,42,9999887078,9999883475,292
docs/inst_test/instancias/n_1000_1,1000,10,10,50,0.3000,2026,9999887007,9999883468,252
docs/inst_test/instancias/n_1000_1,1000,10,10,100,0.1000,2026,9995297202,9995292594,257
docs/inst_test/instancias/n_1000_1,1000,10,10,100,0.2000,42,9998827387,9998822899,268
docs/inst_test/instancias/n_1000_1,1000,10,10,100,0.1000,42,9999297471,9999292890,285
docs/inst_test/instancias/n_1000_1,1000,10,10,100,0.1000,123,9998827353,9998822863,282
docs/inst_test/instancias/n_1000_1,1000,10,10,100,0.2000,2026,9999357281,9999353085,222
docs/inst_test/instancias/n_1000_1,1000,10,10,100,0.2000,123,9998357187,9998353072,268
docs/inst_test/instancias/n_1000_1,1000,10,10,100,0.3000,123,9999416581,9999413709,224
docs/inst_test/instancias/n_1000_1,1000,10,10,100,0.3000,42,9999887034,9999883351,236
docs/inst_test/instancias/n_1000_1,1000,10,10,100,0.3000,2026,9999887007,9999883468,196
docs/inst_test/instancias/n_1000_1,1000,10,10,200,0.1000,123,9998827353,9998822863,255
docs/inst_test/instancias/n_1000_1,1000,10,10,200,0.1000,42,9999297471,9999292890,275
docs/inst_test/instancias/n_1000_1,1000,10,10,200,0.1000,2026,9995297202,9995292594,271
docs/inst_test/instancias/n_1000_1,1000,10,10,200,0.2000,42,9998827387,9998822899,223
docs/inst_test/instancias/n_1000_1,1000,10,10,200,0.3000,123,9999416581,9999413709,225
docs/inst_test/instancias/n_1000_1,1000,10,10,200,0.2000,123,9998357187,9998353072,249
docs/inst_test/instancias/n_1000_1,1000,10,10,200,0.2000,2026,9999357281,9999353085,252
docs/inst_test/instancias/n_1000_1,1000,10,10,200,0.3000,42,9995356890,9995352989,289
docs/inst_test/instancias/n_1000_1,1000,10,10,200,0.3000,2026,9999887007,9999883468,208
docs/inst_test/instancias/n_1000_1,1000,10,15,50,0.1000,42,9999297486,9999292958,266
docs/inst_test/instancias/n_1000_1,1000,10,15,50,0.1000,2026,9995297202,9995292594,235
docs/inst_test/instancias/n_1000_1,1000,10,15,50,0.3000,123,9999416581,9999413709,165
docs/inst_test/instancias/n_1000_1,1000,10,15,50,0.2000,123,9998886934,9998883463,244
docs/inst_test/instancias/n_1000_1,1000,10,15,50,0.2000,42,9998827387,9998822899,255
docs/inst_test/instancias/n_1000_1,1000,10,15,50,0.1000,123,9998827353,9998822863,392
docs/inst_test/instancias/n_1000_1,1000,10,15,50,0.3000,42,9999887078,9999883475,222
docs/inst_test/instancias/n_1000_1,1000,10,15,50,0.2000,2026,9999357281,9999353085,271
docs/inst_test/instancias/n_1000_1,1000,10,15,50,0.3000,2026,9999887007,9999883468,231
docs/inst_test/instancias/n_1000_1,1000,10,15,100,0.1000,123,9998827353,9998822863,252
docs/inst_test/instancias/n_1000_1,1000,10,15,100,0.1000,42,9999297471,9999292890,281
docs/inst_test/instancias/n_1000_1,1000,10,15,100,0.1000,2026,9995297202,9995292594,244
docs/inst_test/instancias/n_1000_1,1000,10,15,100,0.2000,123,9998357187,9998353072,235
docs/inst_test/instancias/n_1000_1,1000,10,15,100,0.2000,42,9998827387,9998822899,255
docs/inst_test/instancias/n_1000_1,1000,10,15,100,0.2000,2026,9999357281,9999353085,254
docs/inst_test/instancias/n_1000_1,1000,10,15,100,0.3000,42,9999887034,9999883351,276
docs/inst_test/instancias/n_1000_1,1000,10,15,100,0.3000,123,9999416581,9999413709,228
docs/inst_test/instancias/n_1000_1,1000,10,15,100,0.3000,2026,9999887007,9999883468,237
docs/inst_test/instancias/n_1000_1,1000,10,15,200,0.1000,42,9999297471,9999292890,252
docs/inst_test/instancias/n_1000_1,1000,10,15,200,0.2000,42,9998827387,9998822899,247
docs/inst_test/instancias/n_1000_1,1000,10,15,200,0.2000,123,9998357187,9998353072,247
docs/inst_test/instancias/n_1000_1,1000,10,15,200,0.1000,123,9998827353,9998822863,295
docs/inst_test/instancias/n_1000_1,1000,10,15,200,0.1000,2026,9995297202,9995292594,302
docs/inst_test/instancias/n_1000_1,1000,10,15,200,0.2000,2026,9999357281,9999353085,264
docs/inst_test/instancias/n_1000_1,1000,10,15,200,0.3000,42,9995356890,9995352989,244
docs/inst_test/instancias/n_1000_1,1000,10,15,200,0.3000,123,9999416581,9999413709,236
docs/inst_test/instancias/n_1000_1,1000,10,15,200,0.3000,2026,9999887007,9999883468,219
docs/inst_test/instancias/n_1000_1,1000,15,7,50,0.1000,42,9999297486,9999292958,267
docs/inst_test/instancias/n_1000_1,1000,15,7,50,0.1000,123,9998827353,9998822863,302
docs/inst_test/instancias/n_1000_1,1000,15,7,50,0.2000,42,9998827387,9998822899,325
docs/inst_test/instancias/n_1000_1,1000,15,7,50,0.2000,123,9998886934,9998883463,298
docs/inst_test/instancias/n_1000_1,1000,15,7,50,0.1000,2026,9995297202,9995292594,337
docs/inst_test/instancias/n_1000_1,1000,15,7,50,0.2000,2026,9999357281,9999353085,353
docs/inst_test/instancias/n_1000_1,1000,15,7,50,0.3000,42,9999887078,9999883475,284
